               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083349,            0.038029,            0.030322,             0.19936,             0.22256,             0.11609,            0.036718,            0.064529,            0.025132,            0.017536,            0.070089,           0.0033235,           0.0033235
                   1,            0.064272,            0.033127,            0.016232,             0.29425,             0.28452,             0.20187,             0.06847,            0.059335,            0.023985,            0.015859,            0.040076,           0.0066436,           0.0066436
                   2,            0.061175,            0.032594,            0.014531,             0.24432,             0.13222,            0.088296,            0.030641,            0.068995,            0.029102,            0.021898,            0.010049,           0.0099506,           0.0099506
                   3,            0.059461,            0.032563,             0.01452,             0.31942,             0.31492,             0.23817,            0.086006,            0.056762,            0.024217,            0.013019,           0.0099406,           0.0099406,           0.0099406
                   4,            0.056556,            0.032564,            0.012958,             0.39699,             0.36943,             0.30791,             0.11493,             0.05248,            0.023838,            0.011431,           0.0099406,           0.0099406,           0.0099406
                   5,            0.055201,            0.031914,            0.012652,             0.40116,             0.38069,             0.32985,             0.12477,            0.050973,            0.023439,             0.01051,           0.0099208,           0.0099208,           0.0099208
                   6,            0.053662,            0.032228,            0.011919,             0.44982,             0.39157,             0.36385,             0.14066,             0.05043,            0.023409,            0.010237,            0.009901,            0.009901,            0.009901
                   7,            0.053162,            0.030966,            0.011288,             0.42043,             0.42955,             0.37556,             0.14694,             0.04861,            0.022823,           0.0093977,           0.0098812,           0.0098812,           0.0098812
                   8,            0.052501,            0.031515,            0.011147,             0.47202,             0.40568,             0.39629,             0.16031,            0.047934,            0.022946,           0.0086402,           0.0098614,           0.0098614,           0.0098614
                   9,            0.051965,            0.031541,            0.011095,             0.43558,             0.44191,             0.40086,             0.16178,             0.04785,            0.022697,           0.0086931,           0.0098416,           0.0098416,           0.0098416
                  10,             0.05126,            0.031248,            0.010326,             0.47162,             0.44931,             0.42758,             0.17741,            0.046794,            0.022478,           0.0082857,           0.0098218,           0.0098218,           0.0098218
                  11,            0.050823,            0.031375,            0.010333,             0.49645,             0.46967,             0.45389,             0.18913,            0.045576,            0.022243,             0.00784,            0.009802,            0.009802,            0.009802
                  12,            0.050314,            0.031247,           0.0099029,             0.48058,             0.45325,             0.43472,             0.17926,            0.046114,            0.022336,           0.0078264,           0.0097822,           0.0097822,           0.0097822
                  13,            0.050413,            0.030635,            0.010107,             0.49694,             0.47585,             0.46148,             0.19205,             0.04567,            0.022142,           0.0073293,           0.0097624,           0.0097624,           0.0097624
                  14,            0.049778,             0.03065,           0.0098137,             0.50299,             0.46735,             0.45794,             0.19335,            0.045236,            0.022294,           0.0077571,           0.0097426,           0.0097426,           0.0097426
                  15,            0.049801,            0.030224,           0.0098546,             0.49953,             0.46424,             0.45779,             0.19131,            0.045442,            0.022342,           0.0076068,           0.0097228,           0.0097228,           0.0097228
                  16,            0.049348,            0.030316,           0.0092457,             0.52257,             0.46037,             0.46644,             0.19431,            0.045264,            0.022206,           0.0070313,            0.009703,            0.009703,            0.009703
                  17,            0.049233,            0.030602,           0.0093459,             0.50466,             0.50032,             0.48793,             0.20687,            0.043812,            0.021812,           0.0066988,           0.0096832,           0.0096832,           0.0096832
                  18,            0.048585,            0.030373,            0.009128,             0.51038,             0.49544,             0.47915,               0.205,            0.044438,            0.021839,           0.0067247,           0.0096634,           0.0096634,           0.0096634
                  19,            0.048416,            0.030248,           0.0090328,              0.5428,             0.49578,             0.50005,             0.21527,            0.043238,            0.021698,           0.0061304,           0.0096436,           0.0096436,           0.0096436
                  20,            0.048088,            0.030257,           0.0088207,             0.53793,             0.50931,             0.51292,             0.22271,            0.043066,            0.021464,              0.0059,           0.0096238,           0.0096238,           0.0096238
                  21,            0.048184,            0.030209,           0.0087174,             0.55939,             0.51223,             0.52411,             0.23015,            0.042712,            0.021537,           0.0058627,            0.009604,            0.009604,            0.009604
                  22,            0.047766,            0.030257,           0.0083529,             0.55696,             0.53881,             0.54925,             0.24239,            0.042234,            0.021216,           0.0056927,           0.0095842,           0.0095842,           0.0095842
                  23,            0.047895,            0.030041,           0.0084049,              0.5683,             0.54211,             0.55004,             0.24156,            0.041678,            0.021027,            0.005391,           0.0095644,           0.0095644,           0.0095644
                  24,             0.04763,            0.029596,           0.0081443,             0.55512,             0.53529,             0.54095,             0.23915,            0.042045,            0.021158,           0.0054906,           0.0095446,           0.0095446,           0.0095446
                  25,            0.047607,            0.030063,           0.0083021,             0.57855,             0.53877,             0.55023,             0.24583,            0.041521,            0.021129,           0.0052426,           0.0095248,           0.0095248,           0.0095248
