               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10144,            0.022337,            0.023055,             0.78096,            0.029347,            0.012369,            0.002853,            0.090447,             0.01604,             0.01764,            0.070117,           0.0033203,           0.0033203
                   1,             0.08373,             0.01655,             0.01606,             0.81863,            0.048366,             0.04456,            0.015218,            0.080509,            0.016588,            0.013273,            0.040051,           0.0065878,           0.0065878
                   2,            0.080238,             0.01633,            0.013826,             0.18073,              0.1172,            0.058181,            0.017562,            0.077681,            0.016289,            0.013591,           0.0099194,           0.0097892,           0.0097892
                   3,            0.079245,            0.016512,            0.013102,             0.49015,             0.04911,            0.048215,            0.016292,            0.081346,            0.016411,             0.01597,            0.009703,            0.009703,            0.009703
                   4,            0.076517,            0.015687,            0.011791,             0.41971,            0.053148,            0.039467,            0.013841,             0.08328,              0.0196,            0.014161,            0.009703,            0.009703,            0.009703
                   5,            0.074801,            0.015587,            0.011795,             0.22419,             0.14374,            0.084652,            0.027067,            0.074127,            0.015589,             0.01129,            0.009604,            0.009604,            0.009604
                   6,            0.074075,            0.015939,            0.011605,             0.18023,             0.20996,              0.1164,            0.037747,            0.069896,            0.015343,            0.010215,            0.009505,            0.009505,            0.009505
                   7,            0.072878,            0.015471,            0.010983,             0.24066,             0.21442,             0.15175,            0.054767,            0.067078,             0.01518,           0.0086326,            0.009406,            0.009406,            0.009406
                   8,            0.072246,            0.015181,            0.010736,             0.25935,             0.22168,              0.1619,            0.057776,            0.068137,            0.014863,           0.0083858,            0.009307,            0.009307,            0.009307
                   9,            0.071479,            0.015743,            0.010283,              0.2641,             0.26208,             0.18712,            0.067892,            0.064879,            0.014744,           0.0080517,            0.009208,            0.009208,            0.009208
                  10,            0.070416,            0.014991,            0.010172,             0.31074,             0.22853,             0.17591,            0.064398,            0.065797,            0.014787,           0.0078959,            0.009109,            0.009109,            0.009109
                  11,            0.069355,            0.014933,           0.0094145,             0.32162,             0.22186,             0.18158,            0.064812,            0.065468,            0.014698,           0.0079797,             0.00901,             0.00901,             0.00901
                  12,            0.069534,            0.015276,           0.0095342,             0.26674,             0.24044,             0.17591,            0.060143,            0.064159,             0.01472,           0.0072451,            0.008911,            0.008911,            0.008911
                  13,            0.068598,            0.015302,           0.0091462,             0.31757,              0.2587,             0.20441,            0.076374,            0.063273,            0.014625,           0.0071311,            0.008812,            0.008812,            0.008812
                  14,             0.06827,            0.015294,           0.0089613,             0.32898,             0.26516,             0.21058,            0.076782,            0.062967,             0.01471,           0.0067887,            0.008713,            0.008713,            0.008713
                  15,            0.068073,            0.014864,           0.0089252,             0.31725,             0.26017,             0.20692,            0.076146,            0.063446,            0.014686,           0.0069202,            0.008614,            0.008614,            0.008614
                  16,            0.067983,            0.015882,           0.0090714,             0.33109,             0.29467,             0.23481,            0.081716,            0.061421,            0.014437,            0.006226,            0.008515,            0.008515,            0.008515
                  17,            0.066872,            0.014964,           0.0084262,             0.30578,             0.27694,             0.21602,            0.079044,            0.061977,            0.014694,           0.0066582,            0.008416,            0.008416,            0.008416
                  18,            0.066654,            0.014766,           0.0085475,             0.36834,             0.29846,             0.26647,             0.10236,            0.059535,            0.014239,           0.0052948,            0.008317,            0.008317,            0.008317
                  19,            0.067002,            0.015255,           0.0087009,             0.36805,             0.31214,             0.27728,              0.1048,            0.059815,            0.014247,           0.0056037,            0.008218,            0.008218,            0.008218
                  20,            0.065572,            0.014471,           0.0077189,             0.38623,              0.3025,             0.26436,             0.10031,            0.059735,            0.014195,           0.0053671,            0.008119,            0.008119,            0.008119
                  21,            0.065645,             0.01477,           0.0074388,             0.37353,             0.31043,             0.26731,            0.099746,            0.058682,            0.014346,           0.0055488,             0.00802,             0.00802,             0.00802
                  22,            0.065644,            0.014886,           0.0072534,             0.38512,             0.31408,             0.28357,             0.10861,            0.058857,            0.014055,           0.0049467,            0.007921,            0.007921,            0.007921
                  23,            0.065084,            0.014577,           0.0072838,             0.38587,             0.32125,             0.27446,             0.10647,            0.059111,            0.014245,           0.0054701,            0.007822,            0.007822,            0.007822
                  24,            0.064364,            0.014797,           0.0071679,             0.40689,             0.32277,             0.29836,             0.11613,            0.057815,             0.01393,           0.0046879,            0.007723,            0.007723,            0.007723
                  25,            0.064408,             0.01487,           0.0074974,             0.41542,             0.36309,             0.33782,             0.13145,            0.056589,            0.013872,           0.0044301,            0.007624,            0.007624,            0.007624
                  26,            0.064453,            0.014957,           0.0067941,             0.45527,             0.36104,             0.34611,             0.14015,            0.056156,            0.013752,           0.0040984,            0.007525,            0.007525,            0.007525
                  27,            0.063934,            0.014265,           0.0075672,             0.42454,              0.3607,             0.33758,             0.13405,            0.056577,            0.014024,           0.0039166,            0.007426,            0.007426,            0.007426
                  28,            0.063378,             0.01491,           0.0066728,             0.43607,             0.36699,               0.347,             0.13515,            0.056271,            0.013834,           0.0039018,            0.007327,            0.007327,            0.007327
                  29,            0.064171,            0.014362,           0.0063966,             0.43871,             0.37876,             0.34831,             0.13775,            0.056131,            0.013683,           0.0038147,            0.007228,            0.007228,            0.007228
                  30,             0.06304,            0.014643,           0.0065814,             0.41277,             0.38681,             0.34113,             0.13498,            0.055943,            0.013757,           0.0037142,            0.007129,            0.007129,            0.007129
                  31,            0.062778,            0.014457,           0.0062107,               0.472,              0.3703,             0.35495,             0.14116,            0.055326,            0.013817,            0.003878,             0.00703,             0.00703,             0.00703
                  32,            0.062501,            0.014245,           0.0060259,             0.49857,             0.38995,             0.38823,             0.15473,            0.054616,            0.013482,           0.0034824,            0.006931,            0.006931,            0.006931
                  33,             0.06227,             0.01491,           0.0058919,             0.48269,             0.41902,             0.39976,             0.15721,             0.05378,            0.013521,           0.0035933,            0.006832,            0.006832,            0.006832
                  34,            0.062282,            0.014388,           0.0059409,             0.50423,             0.42348,             0.42004,             0.16913,            0.052867,             0.01333,           0.0028904,            0.006733,            0.006733,            0.006733
                  35,            0.061392,            0.013975,           0.0057303,             0.50763,               0.429,             0.42808,             0.17388,            0.053492,            0.013325,           0.0031046,            0.006634,            0.006634,            0.006634
