               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10582,            0.049588,            0.028367,             0.76927,            0.022958,           0.0071905,           0.0019047,            0.095817,            0.040758,             0.01921,            0.070326,           0.0032971,           0.0032971
                   1,            0.091558,            0.042014,            0.018122,             0.81472,            0.058022,            0.040642,            0.012118,            0.083208,            0.038535,            0.016039,             0.04026,           0.0065648,           0.0065648
                   2,            0.084724,            0.037909,            0.015283,             0.78512,            0.068978,             0.06208,            0.019458,            0.079272,            0.044708,            0.014303,            0.010129,           0.0097665,           0.0097665
                   3,            0.077979,            0.039997,            0.014062,             0.14543,             0.19441,            0.092265,            0.030021,            0.075436,            0.042207,            0.012372,            0.009703,            0.009703,            0.009703
                   4,            0.074619,            0.038639,            0.011694,             0.21325,             0.22567,             0.13169,            0.040623,            0.072032,            0.039979,            0.011041,            0.009703,            0.009703,            0.009703
                   5,            0.072943,            0.039273,            0.011505,             0.25412,             0.25061,             0.16787,            0.058674,            0.069896,            0.040223,            0.010985,            0.009604,            0.009604,            0.009604
                   6,             0.07042,            0.038169,            0.010818,             0.28566,             0.23131,             0.16126,            0.058312,            0.069645,            0.039885,            0.011026,            0.009505,            0.009505,            0.009505
                   7,            0.069394,            0.038534,            0.010289,              0.3287,             0.27861,             0.21579,             0.07878,            0.065448,            0.038361,           0.0092155,            0.009406,            0.009406,            0.009406
                   8,            0.067874,            0.039476,           0.0096413,             0.31595,             0.26433,             0.21424,            0.074744,            0.066595,            0.038265,           0.0095142,            0.009307,            0.009307,            0.009307
                   9,            0.068252,            0.036862,           0.0097269,             0.36121,              0.2817,             0.23564,            0.085051,            0.064003,            0.038199,           0.0087849,            0.009208,            0.009208,            0.009208
                  10,            0.066972,            0.038767,           0.0090843,             0.33928,             0.27467,             0.22791,            0.087549,            0.066082,            0.038474,           0.0092141,            0.009109,            0.009109,            0.009109
                  11,            0.066108,            0.038693,           0.0087707,             0.39269,             0.31185,             0.27742,             0.10511,            0.063091,            0.036918,            0.007272,             0.00901,             0.00901,             0.00901
