               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078985,            0.038457,            0.028667,             0.43497,             0.19471,             0.13486,            0.046885,            0.061809,            0.024531,            0.017398,            0.070082,           0.0033243,           0.0033243
                   1,            0.060417,            0.032329,            0.015823,              0.3216,             0.33786,              0.2433,            0.087069,            0.054236,            0.024434,            0.012324,            0.040069,           0.0066444,           0.0066444
                   2,            0.057109,            0.032469,            0.014284,             0.33049,             0.31219,             0.23974,            0.084601,            0.053726,            0.025915,            0.014111,            0.010042,           0.0099514,           0.0099514
                   3,            0.054759,             0.03207,            0.013529,             0.34067,             0.35996,             0.29168,             0.10946,            0.051226,            0.023313,            0.011427,           0.0099406,           0.0099406,           0.0099406
                   4,            0.052126,            0.032085,            0.012518,             0.39376,             0.38312,             0.31977,             0.12427,            0.049796,            0.023075,            0.011358,           0.0099406,           0.0099406,           0.0099406
                   5,            0.050285,            0.032323,            0.011641,             0.45241,             0.38838,             0.36114,             0.14586,            0.046905,            0.022745,             0.01056,           0.0099208,           0.0099208,           0.0099208
                   6,            0.049305,            0.031264,            0.011358,             0.42973,             0.38207,             0.34443,             0.13704,            0.048387,            0.023211,             0.01138,            0.009901,            0.009901,            0.009901
                   7,             0.04862,            0.031347,            0.010814,             0.47835,             0.42954,             0.39896,             0.16975,            0.045459,            0.022424,            0.009933,           0.0098812,           0.0098812,           0.0098812
                   8,            0.048166,            0.031323,            0.010746,              0.4191,             0.39685,             0.35428,              0.1395,            0.047573,            0.023005,            0.010404,           0.0098614,           0.0098614,           0.0098614
                   9,            0.047533,            0.030962,            0.010712,             0.45154,             0.43982,             0.39722,             0.16435,            0.045191,            0.022394,           0.0095649,           0.0098416,           0.0098416,           0.0098416
                  10,            0.046886,             0.03079,            0.010002,              0.4809,             0.44154,             0.41567,             0.17081,            0.044627,            0.022096,           0.0091484,           0.0098218,           0.0098218,           0.0098218
                  11,            0.046477,            0.030634,           0.0098995,             0.48328,             0.43938,             0.42366,             0.17928,            0.044828,               0.022,             0.00959,            0.009802,            0.009802,            0.009802
                  12,            0.046185,            0.030612,           0.0096303,             0.47098,             0.45867,             0.41875,             0.17736,            0.044396,            0.022001,           0.0094963,           0.0097822,           0.0097822,           0.0097822
                  13,             0.04623,            0.030931,           0.0096341,             0.45266,             0.46742,             0.42346,               0.174,            0.044256,            0.022224,           0.0097117,           0.0097624,           0.0097624,           0.0097624
                  14,            0.045469,            0.030099,           0.0092617,             0.50709,             0.44843,             0.43582,             0.18409,            0.043991,            0.021765,           0.0092582,           0.0097426,           0.0097426,           0.0097426
                  15,            0.045177,             0.03069,           0.0087066,             0.51856,             0.46909,             0.44909,             0.19553,            0.043426,            0.021698,           0.0090616,           0.0097228,           0.0097228,           0.0097228
                  16,            0.044802,            0.030186,           0.0084909,             0.51876,             0.45984,             0.45716,             0.19505,            0.043301,            0.021684,           0.0092011,            0.009703,            0.009703,            0.009703
                  17,             0.04485,            0.030233,           0.0088466,             0.52074,             0.45716,             0.45447,             0.19604,            0.043197,             0.02173,            0.009262,           0.0096832,           0.0096832,           0.0096832
                  18,            0.044547,            0.030079,           0.0085811,             0.51567,             0.47217,             0.46547,             0.20012,            0.043445,            0.021665,           0.0088493,           0.0096634,           0.0096634,           0.0096634
                  19,            0.044075,            0.029897,           0.0086886,             0.50041,             0.49059,              0.4621,             0.20116,            0.042178,            0.021475,           0.0087162,           0.0096436,           0.0096436,           0.0096436
                  20,            0.044038,            0.030256,           0.0083076,             0.53153,             0.47684,             0.47269,             0.20604,            0.042329,            0.021709,           0.0087692,           0.0096238,           0.0096238,           0.0096238
                  21,            0.044099,            0.029869,           0.0084597,             0.51496,             0.49508,             0.47458,             0.20748,            0.042182,            0.021356,           0.0087847,            0.009604,            0.009604,            0.009604
                  22,            0.043602,            0.029978,           0.0080102,             0.52416,             0.49027,             0.47735,              0.2058,            0.042257,            0.021459,           0.0086793,           0.0095842,           0.0095842,           0.0095842
                  23,            0.043643,            0.029819,           0.0083698,             0.52096,             0.48482,             0.47209,             0.20923,            0.041856,            0.021441,           0.0088902,           0.0095644,           0.0095644,           0.0095644
                  24,            0.043465,            0.029647,           0.0078757,              0.5127,             0.50216,             0.47916,             0.21134,            0.041543,            0.021286,           0.0086912,           0.0095446,           0.0095446,           0.0095446
                  25,            0.043098,            0.029548,           0.0078873,             0.54923,             0.50062,             0.49694,             0.22106,             0.04123,            0.021214,           0.0085786,           0.0095248,           0.0095248,           0.0095248
                  26,            0.043171,            0.029362,           0.0078193,             0.52254,             0.51361,             0.48391,             0.21406,            0.041196,            0.021289,             0.00853,            0.009505,            0.009505,            0.009505
                  27,            0.043137,            0.029204,           0.0074268,             0.53234,             0.50463,             0.49286,             0.22033,            0.040992,            0.021195,           0.0085676,           0.0094852,           0.0094852,           0.0094852
                  28,            0.042523,            0.029558,            0.007401,             0.55593,              0.4985,             0.50128,             0.22487,            0.041337,            0.021237,           0.0086671,           0.0094654,           0.0094654,           0.0094654
                  29,            0.042807,            0.029505,           0.0072263,             0.52964,             0.51521,             0.49915,             0.22479,            0.040944,            0.021095,           0.0085791,           0.0094456,           0.0094456,           0.0094456
                  30,            0.042484,            0.029473,           0.0072772,             0.53564,             0.50899,             0.49647,             0.22259,            0.040682,            0.021211,           0.0085827,           0.0094258,           0.0094258,           0.0094258
                  31,            0.042547,            0.029537,           0.0074887,             0.55621,             0.51595,             0.51176,             0.23239,            0.040459,            0.021177,           0.0083873,            0.009406,            0.009406,            0.009406
                  32,            0.042215,            0.029241,           0.0071858,              0.5449,             0.51223,              0.5092,             0.22853,            0.040769,            0.021139,           0.0088015,           0.0093862,           0.0093862,           0.0093862
                  33,             0.04236,            0.029329,           0.0071357,             0.53923,             0.52161,             0.50844,             0.23137,            0.040372,            0.021045,           0.0083238,           0.0093664,           0.0093664,           0.0093664
                  34,            0.042074,            0.029728,           0.0071251,             0.55318,             0.51879,             0.50737,             0.23076,            0.040568,            0.020994,           0.0084127,           0.0093466,           0.0093466,           0.0093466
                  35,            0.042168,            0.029029,           0.0069182,             0.54175,             0.51664,             0.50705,              0.2298,            0.040241,            0.021032,             0.00851,           0.0093268,           0.0093268,           0.0093268
                  36,            0.042211,            0.029025,           0.0070702,             0.54446,             0.52285,             0.50968,             0.23496,            0.040329,            0.020956,            0.008229,            0.009307,            0.009307,            0.009307
                  37,             0.04189,            0.029176,           0.0069068,             0.56441,              0.5264,               0.525,             0.24047,            0.039938,             0.02093,           0.0086095,           0.0092872,           0.0092872,           0.0092872
                  38,            0.041552,            0.028984,            0.006924,             0.54969,             0.52233,             0.51748,              0.2372,            0.039906,             0.02092,           0.0084191,           0.0092674,           0.0092674,           0.0092674
                  39,            0.041475,            0.028896,           0.0068846,              0.5477,             0.51945,             0.51573,             0.23629,            0.040013,            0.020975,           0.0083928,           0.0092476,           0.0092476,           0.0092476
                  40,            0.041638,             0.02904,           0.0068331,             0.54611,             0.53166,             0.51852,             0.23693,            0.040001,            0.020912,           0.0083407,           0.0092278,           0.0092278,           0.0092278
