               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078542,            0.043417,            0.030019,             0.39769,             0.17254,            0.098753,            0.029791,            0.062492,            0.024643,            0.018607,            0.070151,           0.0033166,           0.0033166
                   1,            0.060554,              0.0357,            0.016578,             0.16145,             0.20926,             0.11012,            0.037941,            0.064476,            0.028836,            0.016245,            0.040129,            0.006628,            0.006628
                   2,             0.05625,            0.035483,            0.014141,             0.24405,             0.24345,             0.14712,            0.051045,            0.060191,            0.026808,            0.017796,            0.010085,           0.0099174,           0.0099174
                   3,            0.053217,            0.035589,            0.013346,             0.31684,             0.32376,             0.24502,            0.089206,             0.05157,            0.025141,            0.012627,            0.009901,            0.009901,            0.009901
                   4,            0.050048,             0.03556,            0.012141,             0.31024,             0.32156,             0.23911,            0.088332,            0.051883,            0.026077,            0.012352,            0.009901,            0.009901,            0.009901
                   5,            0.048009,            0.034958,            0.011219,             0.37002,             0.38115,              0.3268,             0.12439,            0.048282,            0.023389,            0.011032,            0.009868,            0.009868,            0.009868
                   6,            0.046992,            0.034502,            0.010845,             0.40477,              0.3896,             0.34022,             0.13508,            0.046532,            0.023968,            0.010792,            0.009835,            0.009835,            0.009835
                   7,             0.04611,            0.034262,            0.010434,             0.41618,             0.38322,             0.34064,             0.13519,            0.046261,            0.023697,            0.010293,            0.009802,            0.009802,            0.009802
                   8,            0.045241,            0.033886,              0.0103,             0.40829,             0.42196,             0.35165,             0.14047,            0.044916,            0.023445,            0.010211,            0.009769,            0.009769,            0.009769
                   9,            0.044754,            0.034354,           0.0097172,             0.41877,             0.39615,              0.3573,             0.14572,            0.044935,            0.024229,            0.011369,            0.009736,            0.009736,            0.009736
                  10,            0.044379,            0.033698,           0.0095843,              0.4456,             0.44144,             0.39903,             0.16302,            0.044523,             0.02303,           0.0096095,            0.009703,            0.009703,            0.009703
                  11,              0.0435,             0.03322,            0.009244,             0.44532,             0.43643,              0.3956,             0.16214,            0.043616,            0.022941,           0.0095992,             0.00967,             0.00967,             0.00967
                  12,            0.043546,            0.033938,           0.0091831,             0.44864,             0.45282,             0.40769,             0.17049,            0.043009,            0.022834,            0.009178,            0.009637,            0.009637,            0.009637
                  13,            0.043063,            0.032904,           0.0088704,             0.46785,             0.44163,             0.40425,             0.16846,            0.043392,            0.023223,            0.010035,            0.009604,            0.009604,            0.009604
                  14,            0.042526,            0.033571,           0.0086763,             0.45497,             0.45232,             0.42272,             0.18003,            0.042718,            0.022634,           0.0094436,            0.009571,            0.009571,            0.009571
                  15,            0.042809,            0.033016,           0.0087093,             0.45731,             0.45307,             0.41993,             0.17706,            0.042105,            0.022567,           0.0090287,            0.009538,            0.009538,            0.009538
                  16,            0.042282,            0.033126,           0.0085535,              0.4605,             0.47111,             0.43854,             0.19024,            0.040995,            0.022341,           0.0088211,            0.009505,            0.009505,            0.009505
                  17,            0.042102,            0.032975,           0.0082621,             0.48723,             0.47803,             0.45018,             0.19566,            0.040698,            0.022656,           0.0091232,            0.009472,            0.009472,            0.009472
                  18,            0.041619,            0.032731,           0.0082699,             0.47627,             0.48471,             0.45347,             0.19168,            0.041119,            0.022265,           0.0085288,            0.009439,            0.009439,            0.009439
                  19,              0.0415,            0.032995,           0.0079749,             0.47008,             0.43281,             0.40614,             0.17368,            0.042888,            0.023071,           0.0098029,            0.009406,            0.009406,            0.009406
                  20,            0.041397,            0.032607,           0.0079451,             0.48156,             0.48334,              0.4588,             0.20143,            0.040351,            0.022242,           0.0087964,            0.009373,            0.009373,            0.009373
                  21,            0.041066,            0.032961,           0.0079751,             0.50913,             0.48475,             0.46881,             0.20878,            0.040038,            0.022277,           0.0085956,             0.00934,             0.00934,             0.00934
                  22,            0.040881,            0.032357,           0.0079233,             0.49212,             0.49521,             0.46273,             0.20329,            0.040352,            0.022028,           0.0085319,            0.009307,            0.009307,            0.009307
                  23,              0.0409,            0.032605,           0.0075395,             0.46766,             0.49181,             0.45882,             0.19978,            0.040483,            0.022067,           0.0088519,            0.009274,            0.009274,            0.009274
                  24,             0.04053,            0.032741,           0.0074898,             0.46969,             0.50542,             0.47625,             0.20873,            0.039561,            0.022037,           0.0084165,            0.009241,            0.009241,            0.009241
                  25,             0.04054,            0.032573,             0.00753,             0.49616,             0.50141,             0.48216,             0.21228,            0.039538,            0.022073,           0.0082349,            0.009208,            0.009208,            0.009208
                  26,             0.04004,              0.0322,           0.0072915,             0.49323,             0.50457,             0.48803,             0.22049,            0.039151,             0.02193,           0.0081618,            0.009175,            0.009175,            0.009175
                  27,            0.040481,            0.032417,            0.007469,              0.5032,             0.50418,             0.48386,             0.21141,            0.039696,            0.021985,           0.0086688,            0.009142,            0.009142,            0.009142
                  28,            0.040135,            0.032479,           0.0072531,             0.51726,             0.51524,             0.50031,             0.22303,             0.03946,            0.021783,           0.0083337,            0.009109,            0.009109,            0.009109
                  29,            0.039916,            0.032199,           0.0070305,             0.52829,               0.516,             0.50482,             0.22436,            0.038809,            0.021807,            0.008283,            0.009076,            0.009076,            0.009076
                  30,            0.039701,            0.032082,           0.0065905,             0.49498,             0.52111,             0.49243,             0.22274,            0.038722,            0.021836,           0.0084041,            0.009043,            0.009043,            0.009043
                  31,            0.039592,             0.03255,           0.0067666,             0.48883,              0.5133,             0.48933,             0.21925,            0.039037,            0.021798,           0.0079427,             0.00901,             0.00901,             0.00901
                  32,             0.03971,            0.031871,           0.0069125,             0.53445,             0.52883,             0.51594,             0.23145,            0.038437,            0.021818,           0.0082851,            0.008977,            0.008977,            0.008977
                  33,            0.039449,            0.031584,           0.0066714,              0.5119,             0.51505,             0.50124,             0.22451,            0.038464,            0.021752,           0.0082487,            0.008944,            0.008944,            0.008944
                  34,            0.039538,            0.032227,            0.006726,             0.52382,             0.52065,             0.51248,             0.23087,            0.038386,            0.021819,           0.0078653,            0.008911,            0.008911,            0.008911
