               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078948,            0.038278,             0.02897,             0.46971,             0.23515,             0.17856,            0.062337,            0.059128,            0.024182,            0.016995,            0.070082,           0.0033243,           0.0033243
                   1,            0.060275,            0.032155,            0.015581,             0.35191,             0.32179,             0.26346,            0.096223,            0.053524,            0.023268,            0.013163,            0.040069,           0.0066444,           0.0066444
                   2,            0.057134,            0.032651,            0.014249,             0.27866,             0.22916,             0.16173,            0.055399,            0.059499,            0.033537,            0.022793,            0.010042,           0.0099514,           0.0099514
                   3,            0.054748,             0.03215,            0.013803,              0.3377,             0.33193,             0.25835,            0.096914,            0.051649,            0.023851,             0.01351,           0.0099406,           0.0099406,           0.0099406
                   4,            0.052407,            0.031801,            0.012584,             0.38503,             0.38464,             0.31982,             0.12305,            0.049282,            0.023065,            0.011471,           0.0099406,           0.0099406,           0.0099406
                   5,            0.050322,            0.032057,            0.011457,             0.44514,             0.40954,              0.3729,             0.14966,            0.046691,            0.022468,            0.010263,           0.0099208,           0.0099208,           0.0099208
                   6,            0.049423,            0.032047,            0.011219,             0.44757,             0.41373,             0.37645,             0.15164,            0.047332,             0.02227,            0.010307,            0.009901,            0.009901,            0.009901
                   7,            0.048224,            0.031051,            0.010824,             0.47406,             0.39734,             0.37066,             0.15346,            0.046082,             0.02276,            0.010921,           0.0098812,           0.0098812,           0.0098812
                   8,             0.04786,            0.030887,            0.010073,             0.42873,             0.41115,             0.37015,              0.1518,            0.046028,            0.022696,            0.011071,           0.0098614,           0.0098614,           0.0098614
                   9,            0.047532,            0.031438,            0.010507,             0.47888,             0.42465,             0.39637,             0.15964,            0.045645,            0.022663,             0.01004,           0.0098416,           0.0098416,           0.0098416
                  10,            0.047442,            0.031089,            0.010341,             0.47417,             0.45278,              0.4263,             0.18192,            0.044198,            0.022013,            0.009575,           0.0098218,           0.0098218,           0.0098218
