               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08714,            0.030269,            0.029854,             0.48766,             0.21228,             0.16569,            0.056132,            0.065286,            0.018228,            0.016912,            0.070076,           0.0033249,           0.0033249
                   1,            0.067445,            0.026596,            0.016864,             0.34114,             0.32866,              0.2452,            0.091034,            0.059875,            0.017694,            0.015003,            0.040054,           0.0066363,           0.0066363
                   2,            0.064119,            0.026385,            0.015539,              0.3275,             0.28716,             0.22183,            0.078561,            0.061367,            0.017996,            0.015959,             0.01001,           0.0099257,           0.0099257
                   3,            0.062485,            0.026633,             0.01495,             0.40389,             0.39295,             0.31934,             0.12191,              0.0553,            0.018117,            0.012453,            0.009901,            0.009901,            0.009901
                   4,            0.059624,            0.026625,            0.013931,              0.4066,             0.35926,             0.31597,             0.12281,            0.055792,            0.017375,            0.011917,            0.009901,            0.009901,            0.009901
                   5,            0.058197,            0.026095,            0.013287,             0.43698,             0.34723,             0.32533,             0.13063,            0.054196,            0.017812,            0.012579,            0.009868,            0.009868,            0.009868
                   6,            0.057498,            0.025837,            0.012558,             0.50122,              0.4209,             0.40794,             0.16288,            0.051453,            0.016945,             0.01109,            0.009835,            0.009835,            0.009835
                   7,            0.056136,            0.025676,            0.011877,             0.49109,             0.42849,              0.4041,             0.16451,            0.051558,            0.016907,            0.010868,            0.009802,            0.009802,            0.009802
                   8,            0.055963,            0.025449,             0.01213,             0.51105,             0.40942,             0.40522,             0.16749,            0.051372,            0.016893,             0.01101,            0.009769,            0.009769,            0.009769
                   9,            0.055325,            0.025788,            0.011587,              0.5076,             0.43587,             0.43038,             0.17836,            0.050445,            0.016818,            0.010568,            0.009736,            0.009736,            0.009736
                  10,             0.05514,            0.025192,            0.011566,             0.51907,             0.44046,             0.43204,              0.1821,             0.05009,            0.016648,            0.010083,            0.009703,            0.009703,            0.009703
                  11,            0.054622,            0.025037,            0.011204,             0.51315,             0.47126,             0.45318,             0.19456,              0.0487,            0.016344,            0.009796,             0.00967,             0.00967,             0.00967
                  12,            0.054144,            0.025429,            0.011209,             0.47186,             0.43784,             0.40446,             0.16953,            0.049943,            0.016963,            0.010672,            0.009637,            0.009637,            0.009637
                  13,            0.053999,            0.024806,            0.010589,             0.52209,             0.43704,             0.43051,             0.18128,            0.049268,            0.016789,            0.010471,            0.009604,            0.009604,            0.009604
                  14,            0.053131,            0.025277,            0.010434,             0.51761,             0.45917,             0.44888,             0.19515,            0.048395,            0.016619,           0.0097503,            0.009571,            0.009571,            0.009571
                  15,            0.053543,            0.024998,            0.010581,             0.53125,             0.45302,             0.44296,             0.18939,            0.049015,            0.016599,            0.010027,            0.009538,            0.009538,            0.009538
                  16,            0.053024,            0.024966,            0.010566,             0.54945,             0.46594,             0.46899,             0.19941,            0.048189,            0.016343,           0.0091974,            0.009505,            0.009505,            0.009505
                  17,            0.052835,            0.024886,           0.0099579,             0.53917,             0.47166,             0.46927,              0.2007,            0.048091,            0.016324,           0.0095648,            0.009472,            0.009472,            0.009472
                  18,            0.052226,            0.024649,           0.0099525,             0.55711,             0.47288,             0.48304,             0.20759,            0.047774,             0.01633,            0.009414,            0.009439,            0.009439,            0.009439
                  19,            0.052292,            0.024976,           0.0099747,             0.53817,             0.48768,             0.48442,             0.21216,            0.047052,            0.016183,           0.0091938,            0.009406,            0.009406,            0.009406
                  20,            0.052377,            0.024654,           0.0096811,             0.53826,             0.47666,              0.4744,             0.20756,            0.047356,            0.016417,           0.0092846,            0.009373,            0.009373,            0.009373
                  21,            0.052013,            0.025034,           0.0099221,             0.55132,             0.48334,             0.48599,             0.21519,            0.047184,             0.01616,           0.0093959,             0.00934,             0.00934,             0.00934
                  22,            0.051712,            0.024533,           0.0096438,              0.5381,             0.47438,             0.47429,             0.21019,            0.047087,             0.01636,           0.0093507,            0.009307,            0.009307,            0.009307
                  23,            0.051937,            0.024572,           0.0098007,             0.56893,             0.48845,             0.49296,             0.22144,            0.046257,            0.016044,           0.0089856,            0.009274,            0.009274,            0.009274
                  24,             0.05152,            0.024584,           0.0093154,             0.55136,             0.49468,             0.49904,              0.2249,            0.046234,            0.016187,           0.0086624,            0.009241,            0.009241,            0.009241
                  25,            0.051081,            0.024582,           0.0093085,             0.56772,             0.50432,             0.51214,             0.22697,            0.045952,            0.016065,           0.0087662,            0.009208,            0.009208,            0.009208
                  26,            0.050999,            0.024367,           0.0091419,             0.56539,             0.49804,             0.50422,             0.22418,            0.046074,             0.01605,           0.0089505,            0.009175,            0.009175,            0.009175
                  27,            0.051254,            0.024431,           0.0093432,             0.58061,             0.49271,             0.51003,             0.23044,            0.045646,            0.015924,           0.0085727,            0.009142,            0.009142,            0.009142
                  28,            0.051035,            0.024622,           0.0090406,             0.58355,              0.5028,             0.51784,              0.2337,            0.045602,            0.015957,           0.0088859,            0.009109,            0.009109,            0.009109
                  29,            0.050772,            0.024065,           0.0088612,             0.55905,              0.5099,             0.51442,             0.23301,            0.045539,            0.016054,           0.0087624,            0.009076,            0.009076,            0.009076
                  30,            0.050455,            0.024347,           0.0087473,             0.58991,             0.50656,             0.52877,             0.23804,            0.045209,             0.01576,           0.0086054,            0.009043,            0.009043,            0.009043
                  31,            0.050445,            0.024385,           0.0089118,             0.56953,             0.51705,             0.51976,             0.23577,            0.045456,            0.015955,           0.0085519,             0.00901,             0.00901,             0.00901
                  32,            0.050494,            0.024059,           0.0090087,             0.57626,             0.51227,             0.52398,             0.23935,            0.044959,             0.01585,           0.0085271,            0.008977,            0.008977,            0.008977
                  33,            0.050436,            0.024162,           0.0086479,              0.5681,             0.51351,             0.51872,             0.23763,            0.045209,             0.01589,           0.0085777,            0.008944,            0.008944,            0.008944
                  34,            0.050403,            0.024478,           0.0087466,             0.57971,              0.5179,             0.52861,             0.24166,             0.04484,            0.015852,           0.0086278,            0.008911,            0.008911,            0.008911
                  35,            0.049951,            0.024212,           0.0084244,              0.5865,             0.51715,              0.5346,             0.24478,            0.044821,            0.015724,           0.0083252,            0.008878,            0.008878,            0.008878
                  36,             0.04988,            0.024094,            0.008341,             0.58758,             0.51535,             0.53133,             0.24208,            0.044917,            0.015775,           0.0083143,            0.008845,            0.008845,            0.008845
                  37,            0.049846,            0.024108,             0.00855,             0.58617,             0.52928,             0.53357,             0.24413,            0.044881,            0.015756,           0.0084595,            0.008812,            0.008812,            0.008812
                  38,            0.049852,            0.024018,           0.0084772,             0.58662,             0.52585,             0.53415,             0.24655,            0.044706,            0.015768,           0.0085324,            0.008779,            0.008779,            0.008779
                  39,            0.049864,            0.024234,           0.0082472,             0.59846,             0.52296,             0.54456,             0.25176,             0.04445,            0.015752,           0.0082453,            0.008746,            0.008746,            0.008746
                  40,            0.049641,            0.024118,           0.0081901,             0.59493,             0.52344,             0.54057,             0.24928,            0.044319,            0.015667,           0.0085327,            0.008713,            0.008713,            0.008713
                  41,            0.049652,            0.023891,           0.0083672,             0.58716,             0.51596,             0.53991,             0.25089,            0.044488,            0.015674,           0.0085196,             0.00868,             0.00868,             0.00868
                  42,            0.049248,            0.023714,           0.0080941,              0.5801,             0.52512,             0.53837,             0.25198,            0.044216,            0.015647,            0.008681,            0.008647,            0.008647,            0.008647
                  43,            0.049369,            0.024191,           0.0080242,             0.59565,             0.53614,             0.54485,             0.25506,            0.043979,            0.015672,           0.0082868,            0.008614,            0.008614,            0.008614
                  44,            0.049097,             0.02409,           0.0079874,             0.58366,             0.53314,             0.54229,             0.25341,            0.044007,            0.015647,           0.0084024,            0.008581,            0.008581,            0.008581
                  45,            0.049408,            0.023841,           0.0078751,             0.59195,             0.53447,             0.54711,             0.25216,            0.044046,            0.015676,           0.0084698,            0.008548,            0.008548,            0.008548
